Date ,Decade,Province,City,Incident,Killed ,Injured,Government,President
8/31/2011,2010,Balochistan,Quetta,Attack,20,22,Democratic,Asif Zardari
09/01/2011,2010,FATA,Kurram agency,Attack,7,1,Democratic,Asif Zardari
09/02/2011,2010,FATA,Kurram agency,Attack,4,0,Democratic,Asif Zardari
9/20/2011,2010,Balochistan,Mastung,Attack,29,6,Democratic,Asif Zardari
9/23/2011,2010,Balochistan,quetta,Attack,3,2,Democratic,Asif Zardari
10/04/2011,2010,Balochistan,Quetta,Attack,14,7,Democratic,Asif Zardari
11/29/2011,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
11/29/2011,2010,Sindh,Karachi,Target killing,3,0,Democratic,Asif Zardari
12/28/2011,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/29/2011,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
12/30/2011,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
12/31/2011,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
01/05/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
01/05/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
01/05/2012,2010,Punjab,Lahore,Target killing,1,2,Democratic,Asif Zardari
01/07/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,0,1,Democratic,Asif Zardari
01/07/2012,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
01/08/2012,2010,Sindh,Karachi,Attack,0,0,Democratic,Asif Zardari
01/08/2012,2010,Sindh,Karachi,Target killing,0,2,Democratic,Asif Zardari
01/09/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
01/12/2012,2010,Gilgit-Baltistan,Gilgit,Attack,0,0,Democratic,Asif Zardari
01/12/2012,2010,KPK,Peshawar,Target killing,0,1,Democratic,Asif Zardari
01/12/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/15/2012,2010,Punjab,Khanpur,Attack,34,50,Democratic,Asif Zardari
1/15/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/16/2012,2010,Punjab,Khanpur,Attack,0,0,Democratic,Asif Zardari
1/16/2012,2010,Punjab,Rahimyar Khan,Attack,1,0,Democratic,Asif Zardari
1/16/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/17/2012,2010,Balochistan,Hub,Target killing,1,0,Democratic,Asif Zardari
1/18/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
1/19/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/20/2012,2010,Punjab,Lahore,Attack,0,0,Democratic,Asif Zardari
1/22/2012,2010,Punjab,Jhang,Target killing,0,7,Democratic,Asif Zardari
1/22/2012,2010,Punjab,Okara,Target killing,0,0,Democratic,Asif Zardari
1/23/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
1/23/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/24/2012,2010,Sindh,Karachi,Attack,0,0,Democratic,Asif Zardari
1/25/2012,2010,Balochistan,Quetta,Target killing,3,0,Democratic,Asif Zardari
1/25/2012,2010,Sindh,Karachi,Target killing,3,1,Democratic,Asif Zardari
1/28/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/30/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
1/31/2012,2010,KPK,D.I. Khan,Target killing,1,1,Democratic,Asif Zardari
1/31/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/01/2012,2010,Sindh,Karachi,Attack,0,1,Democratic,Asif Zardari
